State,SO2 Annual average (µg/m3),NO2 Annual average (µg/m3),PM10 Annual average (µg/m3),PM10 Std. Dev.,Rivers,Max,Min,Population Density,Latitude,Longitude,2011 (in millimetre)
Andhra Pradesh,7,19,77,28,"Godavari, Krishna, Penna",40,17,308 ,14.7504291,78.57002559,835.5
Arunachal Pradesh,6,14,74,42,Brahmaputra,36,8,17 ,27.10039878,93.61660071,1923.4
Assam,6,14,74,42,"Brahmaputra, Barak",36,11,398 ,26.7499809,94.21666744,1758.3
Bihar,5,47,174,104,"Ganga, Koshi, Ghaghara",42,12,1106 ,25.78541445,87.4799727,1217.3
Chattisgarh,12,27,173,18,"Mahanadi, Godavari",44,14,189 ,22.09042035,82.15998734,1313
Delhi,5,57,222,116,Yamuna,44,9,11320 ,28.6699929,77.23000403,216.5
Goa,10,18,100,45,-,35,21,394 ,15.491997,73.81800065,3842.4
Gujarat,15,25,88,17,"Narmada, Tapti, Gomti",43,14,308 ,22.309425,72.13623,903.9
Haryana,13,25,146,50,"Yamuna, Saraswati",44,9,573 ,28.45000633,77.01999101,216.5
Himachal Pradesh,3,12,88,45,"Yamuna, Sutlej, Ravi, Beas, Chenab",39,3,123 ,31.10002545,77.16659704,1051.8
Jammu & Kashmir,5,12,107,23,"Jhelum, Indus, Sutlej, Ravi, Chenab",40,-30,56 ,34.29995933,74.46665849,1122.1
Jharkhand,23,39,197,51,Ganga,43,12,414 ,23.80039349,86.41998572,1274.8
Karnataka,11,21,71,35,"Kaveri, Krishna",35,16,319 ,12.57038129,76.91999711,4146.4
Kerala,4,14,42,14,Periyar,34,23,860 ,8.900372741,76.56999263,3041.6
Madhya Pradesh,12,18,135,53,"Narmada, Tapti, Chambal, Son",43,8,236 ,21.30039105,76.13001949,1141.5
Maharashtra,18,33,111,50,"Godavari, Krishna, Narmada, Tapti",45,15,365 ,19.25023195,73.16017493,842.9
Manipur,2,6,82,37,Barak,30,3,128 ,24.79997072,93.95001705,413.75
Meghalaya,17,10,89,18,-,25,6,132 ,25.57049217,91.8800142,1758.3
Mizoram,2,5,57,8,Barak,30,7,52 ,23.71039899,92.72001461,620.625
Nagaland,2,6,82,37,-,26,5,119 ,25.6669979,94.11657019,413.75
Orissa,4,19,96,28,"Mahanadi, Brahmani",43,12,270 ,19.82042971,85.90001746,1300.2
Punjab,10,26,156,33,"Sutlej, Ravi, Beas, Chenab, Jhelum",44,5,551 ,31.51997398,75.98000281,533.6
Rajasthan,7,31,165,185,"Chambal, Banas",44,8,200 ,26.44999921,74.63998124,637.9
Sikkim,17,10,89,18,Teesta,21,2,86 ,27.3333303,88.6166475,2360
Tamil Nadu,10,22,77,37,Kaveri,39,19,555 ,12.92038576,79.15004187,1013.8
Tripura,2,5,57,8,-,36,14,350 ,23.83540428,91.27999914,413.75
Uttar Pradesh,13,30,163,39,"Ganga, Yamuna, Gomti, Ghaghara, Chambal",45,7,829 ,27.59998069,78.05000565,825.45
Uttarakhand,21,24,158,57,"Ganga, Yamuna",38,3,189 ,30.32040895,78.05000565,1708.2
West Bengal,11,57,127,78,"Ganga, Hugli, Teesta, Damodar",40,14,1028 ,22.58039044,88.32994665,1671.7
